id,project,status,target_completion_date,highway_transit_line,estimated_total_budget,latitude,longitude,category,supporting_ministry,community,description,result,area,region,address,postal_code,municipal_funding,provincial_funding,federal_funding,other_funding,website
443,Sewer Main Lining,Complete,2019-03-01,,75000,46.463151,-81.021527,Communities,Infrastructure,Greater Sudbury,Lining the sewer line on Strathmere Court - Robinson Drive East to Robinson Drive West.,Fewer watermain breaks.,Sudbury,Northeast,81 Strathmere Court,P3E 2J8,Yes,Yes,Yes,,
444,Sewer Main Lining,Complete,2018-09-01,,79734,46.475505,-81.010938,Communities,Infrastructure,Greater Sudbury,Lining the sewer line York Street - Regent Street to Paris Street.,Fewer watermain breaks.,Sudbury,Northeast,203 York Street,P3E 2A2,Yes,Yes,Yes,,
445,Stormwater Asset Management Plan,Complete,2020-09-01,,296896,46.490055,-80.990356,Communities,Infrastructure,Greater Sudbury,Develop a stormwater asset management plan.,"The plan will be used to maintain current assets, identify capacity for growth and detail the deficiencies in existing water basin studies.",Sudbury,Northeast,200 Brady Street,P3A 5P3,Yes,Yes,Yes,,
446,David Street - Storm Water Outlet Management Station,Complete,2019-12-01,,1199673,46.577364,-81.206873,Communities,Infrastructure,Greater Sudbury,Design and construct a new storm water management station to replace the existing undersized station.,,Sudbury,Northeast,70 David Street,P3E 1T1,Yes,Yes,Yes,,
447,Roof Hatch (2) and Flooring Upgrade,Complete,2022-12-01,,0,46.4934,-80.999,Communities,Infrastructure,Greater Sudbury,Increase clients' safe use of the community centre Increase safe accessibility to the Centre's 3 levelsIncrease safe access and security to roof Increase healthy environment and temperature at the Centre during summerMake spaces more accessible to wheel-chairs & other mobility devicesRemove outdated roof hatch and install a new up-to-date roof hatch and secure accessReplace old flooring with ceramic tiles on the second floor that is highly used by all clients (including people using mobility devices) of the CentreOutputs will include an increase of approximately 300 Indigenous community members utilizing the N'Swakamok Native Friendship Centre during the summer because it will provide a healthier and more comfortable space to deliver programs.  There will also be an increase of approximately 50 seniors and younger people with mobility devices accessing the Centre because it is easier for them to navigate throughout the second floor.,,Sudbury,Northeast,110 Elm Street,P3C1T5,Yes,Yes,Yes,Yes,
448,Geraldton Ward Waterline Rehabilitation,Complete,2017-06-01,,334966,49.713499,-86.951628,Communities,Infrastructure,Greenstone,"Remove iron carbuncles and other contaminants, and reline 1.4 km of deteriorating water lines","Improved health and safety for area residents by providing clean drinking water, and reduced maintenance costs.",Thunder Bay,Northwest,,,Yes,Yes,Yes,,
449,Longlac Ward Albany Place Watermain Replacement,Complete,2017-07-01,,47789,49.777917,-86.533684,Communities,Infrastructure,Greenstone,"Replace approximately 100 meters of deteriorated cast iron pipe with 6"""" Polyvinyl Chloride (PVC) pipe and tie it into another 6"""" line to allow for flow.",Better water service to 11 households.,Thunder Bay,Northwest,108 Albany Place - Longlac Ward,,Yes,Yes,Yes,,
450,Geraldton Water Line Rehabilitation,Complete,2017-09-01,,1100000,49.724,-86.953,Communities,Infrastructure,Greenstone,Rehabilitation of waterlines in the municipal drinking water distribution system.,Safer drinking water,Thunder Bay,Northwest,4th Ave. SW,P0T 1M0,Yes,Yes,Yes,,
451,Picnic Point Pump Station Upgrades and Forcemain Enlargement,Complete,2018-06-01,,990000,49.769894,-86.546328,Communities,Infrastructure,Greenstone,Upgrades to the Picnic Point Pumping Station.,Minimized risk of contamination,Thunder Bay,Northwest,Picnic Point Rd,,Yes,Yes,,,
452,Keady Stormwater Management Study,Complete,2018-06-01,,41250,44.465996,-80.632692,Communities,Infrastructure,Grey County,Complete the design to address stormwater quantity and quality issues in the hamlet of Keady at the intersection of Grey Road 16 and Grey Road 3.,,Grey,Southwest,,,Yes,Yes,Yes,,
453,Badjeros Stormwater Management Study,Complete,2018-06-01,,11250,44.465996,-80.632692,Communities,Infrastructure,Grey County,Complete a stormwater study and establish a stormwater pond.,,Grey,Southwest,,,Yes,Yes,Yes,,
454,Grey Road 30 Stormwater Management Study,Complete,2018-06-01,,22500,44.465996,-80.632692,Communities,Infrastructure,Grey County,Complete a drainage study and establish an outlet to the Beaver River.,,Grey,Southwest,,,Yes,Yes,Yes,,
455,Upgrading Mark Street watermain,Complete,2017-11-01,,116564,44.316338,-80.647977,Communities,Infrastructure,Grey Highlands,"Upgrade the existing watermain on Mark St. from  4"""" cast iron to 6"""" polyvinyl chloride pipe.",,Grey,Southwest,,,Yes,Yes,Yes,,
456,Water Main Rehabilitation,Complete,2018-09-01,,1407784,43.194261,-79.562437,Communities,Infrastructure,Grimsby,"Replace the cast iron water main, all fire hydrants, isolation valves, and water services from the water main to the property line.","Improved water services for up to 1,000 residents.",Niagara,Central,,,Yes,Yes,Yes,,
457,Water Main Rehabilitation,Complete,2018-09-01,,1309946,43.194261,-79.562437,Communities,Infrastructure,Grimsby,"Replace the cast iron water main and all fire hydrants, isolation valves, and water services from the water main to the property line.",Improved water services for up to  860 residents.,Niagara,Central,,,Yes,Yes,Yes,,
458,Expansion and Renovation of the Peach King Community Centre,Planning,2025-01-01,,0,,,Communities,Infrastructure,Grimsby,"To increase indoor leisure space in Grimsby, which will allow for improved and increased access to recreation and culture services that is operationally efficient.To respond to infrastructure priorities and service gaps, identified in the Master Plan, which will greatly increase citizen wellness and physical activity opportunities.To improve accessibility and support vulnerable populations, which will ensure that all members of the community can participate at their community centre.The Peach King Centre Expansion Project will increase the Town of Grimsby's indoor leisure infrastructure by adding a full-size gymnasium, indoor walking/wheeling track, multi-purpose program rooms, cultural space, EarlyON/preschool space, youth space and a unique and creative outdoor second floor recreation space.  The project includes improvements to accessibility, a renovated fitness centre and increased lobby/gathering spaces.  The outcome is a complete Community Centre for Grimsby.The project will serve the entire growing community of Grimsby (pop: 28,000+). Multi-use space will optimize a suite of programs and services for all citizens, and also priority groups including youth, seniors, inactive adults, vulnerable populations and new residents.  The project will improve physical and mental health in the community, and also promote local economic development.  This project will create partnership and space use opportunities with local sport, culture and leisure partners.",,Niagara,Central,160 Livingston Avenue,L3M0J5,Yes,Yes,,,https://www.news.ontario.ca/en/release/1000487/ontario-investing-over-16-million-to-expand-and-renovate-the-peach-king-centre-in-grimsby
459,Metcalfe Street Reconstruction - Phase 1,Complete,2019-04-01,,2696835,43.551991,-80.243322,Communities,Infrastructure,Guelph,Rehabilitate  a 1.2 km stretch of Metcalfe Street.,"Improve water supply, alleviate flooding, protect source water and replace aging underground infrastructure.",Wellington,Southwest,Civic Address Spanning 216 to 301 Metcalfe Street,,Yes,Yes,Yes,,
460,Snow Disposal Facility Upgrade,Complete,2020-09-01,,3750000,43.524032,-80.267785,Communities,Infrastructure,Guelph,Various improvements to the facility.,"Efficient and safe snow disposal operations, reduced risk of groundwater contamination.",Wellington,Southwest,Civic Address 530 Wellington Street West,,Yes,Yes,Yes,,
461,Stormwater Management and Pond Maintenance,Complete,2020-03-01,,1125000,43.525406,-80.295575,Communities,Infrastructure,Guelph,Repair two stormwater ponds.,"Reduced potential flooding, and significantly improve the quality of water and eco-system health of the Eramosa and Speed Rivers and their tributaries.",Wellington,Southwest,Tovell Drive and Elmira Road Pond and Hilldale Pond,,Yes,Yes,Yes,,
462,Watermain Connection,Complete,2018-09-01,,225933,43.6111,-80.1455,Communities,Infrastructure,Guelph-Eramosa,New and replaced watermain pipes  from Valley Road to Richardson Street.,Reduced reliance on 40-year old thin walled watermain which is prone to breaks.,Wellington,Southwest,197 Valley Road,N0B 2K0,Yes,Yes,Yes,,
463,Replacement of Cast Iron Watermain,Complete,2017-09-01,,525000,42.961861,-80.052,Communities,Infrastructure,Haldimand County,Replace the cast iron watermain.,Reduced water pipe breaks and improved water flow.,Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
464,Rehabilitation of the Cayuga Standpipe,Complete,2019-12-01,,712500,42.954972,-79.859722,Communities,Infrastructure,Haldimand County,Repair to the Cayuga standpipe.,"Greater water reliability for 1,600 residents.",Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
465,Backwash Filter Room Rehabilitation,Complete,2021-02-01,,412500,42.901556,-79.620056,Communities,Infrastructure,Haldimand County,"Renovations to the backwash filter room, including replacement of key structural elements and upgrades to wiring.","Greater reliability of the water treatment service for the 5,800 residents of Dunnville.",Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
466,Rehabilitation of the West Reservoir,Complete,2017-12-01,,82500,42.799833,-80.061028,Communities,Infrastructure,Haldimand County,Repair the floor slab and support columns in the existing west water reservoir at the Nanticoke Water Treatment Plant.,"Better water services to the 5,100 residents of Hagersville, Jarvis and Townsend.",Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
467,Baffling Systems,Complete,2020-10-01,,262500,42.799833,-80.061028,Communities,Infrastructure,Haldimand County,Install a baffling system (curtains) in both the east and west water reservoirs at the Nanticoke Water Treatment Plant.,Enhanced mixing and reduced areas of stagnant water.,Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
468,Primary Disinfection Storage and Dosing System,Complete,2017-03-01,,75050,42.799833,-80.061028,Communities,Infrastructure,Haldimand County,"Install  a new sodium hypochloride storage tank, complete with containment and chemical dosing system at the Nanticoke Water Treatment Plant.",Better water services at the Nanticoke Water Treatment Plant.,Haldimand-Norfolk,Southwest,,,Yes,Yes,Yes,,
469,Hallebourg Water System Improvements,Complete,2017-10-01,,210510,49.666357,-83.51836,Communities,Infrastructure,Hallebourg Local services board,Improvements to the water treatment system.,Minimized risk of contamination,Cochrane,Northeast,44 Jacques St,P0L 1L0,,Yes,,Yes,
470,Second Feedermain,Complete,2020-09-01,,33735454,43.347472,-79.797472,Communities,Infrastructure,Halton,Install 3.95 km of trunk watermain between the Burlington water purification plant and the Washburn Reservoir.,Greater security of water supply  and added operational flexibility to inspect and repair the existing single feed.,Halton,Central,,,Yes,Yes,Yes,,
471,Water services lowering,Complete,2020-03-01,,1019250,43.650204,-79.905814,Communities,Infrastructure,Halton,Lower and / or insulate approximately 49 water services (from the watermain to the curb stop at the property line) in the Town of Halton Hills - Georgetown,,Halton,Central,,,Yes,Yes,Yes,,
472,Water services lowering,Complete,2020-09-01,,5024868,43.574582,-80.054999,Communities,Infrastructure,Halton,"Lower and / or insulate approximately 257 water services (from the watermain to the curb stop at the property line) in Halton Hills – Acton, Oakville and Burlington",,Halton,Central,,,Yes,Yes,Yes,,
473,Installation of Stormwater Sewer and Water Quality Treatment Unit,Complete,2017-07-01,,622500,43.656668,-79.895189,Communities,Infrastructure,Halton Hills,Install approximately 500 meters of new storm sewer system to tie into the existing storm sewer system in conjunction with the road reconstruction on Armstrong Avenue.,Improved stormwater quality discharged into the Credit River.,Halton,Central,,,Yes,Yes,Yes,,
474,Rehabilitation Storm Sewer and Outfall,Complete,2018-09-01,,183000,43.656668,-79.895189,Communities,Infrastructure,Halton Hills,Line the existing storm sewer and install improvements to the outfall structure  on Armstrong Avenue.,"Improved health and safety and environmental conditions; reduce flooding risk, and extend the lifecycle of the trunk sewer pipe and outfall structure.",Halton,Central,,,Yes,Yes,Yes,,
475,Mountain Trunk Storm Sewer,Complete,2020-03-01,,7875000,43.208641,-79.847987,Communities,Infrastructure,Hamilton,Replace or repair the storm sewer from Upper Ottawa Street to Upper Wentworth Street.,,Hamilton,Central,Lincoln Alexander Parkway south side ramp at Upper Gage Ave,,Yes,Yes,Yes,,
476,Watermain Structural Lining,Complete,2018-12-01,,5250000,43.255363,-79.869654,Communities,Infrastructure,Hamilton,Internal lining of 4.5 Km of metal watermains.,Extended service life of the asset and improved service delivery to approximately 1200 customers.,Hamilton,Central,,,Yes,Yes,Yes,,
477,Wastewater System Lining,Complete,2019-12-01,,4916822,43.255363,-79.869654,Communities,Infrastructure,Hamilton,"Internal lining of 20 km of brick, concrete, clay, and polyvinyl chloride sewers.","Reduced occurrence of structural failure and sewermain back-ups to approximately 3,500 customers.",Hamilton,Central,,,Yes,Yes,Yes,,
478,Woodward Wastewater Treatment Plant Methane Storage Facility refurbishment and exterior repainting.,Complete,2018-07-01,,3000000,43.253798,-79.769654,Communities,Infrastructure,Hamilton,Refurbish and repaint the Woodward methane storage facility and its associated control valves.,Increased lifespan for the facility.,Hamilton,Central,700 Woodward Ave,,Yes,Yes,Yes,,
